file_name,label,frame_count,width,height,fps,duration,bitrate
video_001.mp4,Real,377,640,480,30,13,642
video_002.mp4,Fake,182,640,480,30,14,1035
video_003.mp4,Real,239,640,480,30,7,562
video_004.mp4,Fake,153,640,480,30,11,1682
video_005.mp4,Real,168,640,480,30,13,1911
video_006.mp4,Fake,266,640,480,30,15,1823
video_007.mp4,Real,152,640,480,30,11,1144
video_008.mp4,Fake,276,640,480,30,14,1781
video_009.mp4,Real,364,640,480,30,5,1321
video_010.mp4,Fake,447,640,480,30,8,1912
video_011.mp4,Real,168,640,480,30,8,1030
video_012.mp4,Fake,398,640,480,30,9,1682
video_013.mp4,Real,127,640,480,30,6,1456
video_014.mp4,Fake,243,640,480,30,14,1526
video_015.mp4,Real,104,640,480,30,6,1506
video_016.mp4,Fake,120,640,480,30,12,1419
video_017.mp4,Real,311,640,480,30,12,1968
video_018.mp4,Fake,248,640,480,30,9,971
video_019.mp4,Real,409,640,480,30,15,598
video_020.mp4,Fake,199,640,480,30,12,1832
video_021.mp4,Real,456,640,480,30,12,1667
video_022.mp4,Fake,453,640,480,30,6,1692
video_023.mp4,Real,409,640,480,30,14,801
video_024.mp4,Fake,108,640,480,30,8,1447
video_025.mp4,Real,176,640,480,30,7,1377
video_026.mp4,Fake,488,640,480,30,5,1489
video_027.mp4,Real,147,640,480,30,10,1293
video_028.mp4,Fake,141,640,480,30,5,916
video_029.mp4,Real,357,640,480,30,11,852
video_030.mp4,Fake,249,640,480,30,12,1345
video_031.mp4,Real,112,640,480,30,13,716
video_032.mp4,Fake,106,640,480,30,13,1813
video_033.mp4,Real,300,640,480,30,14,934
video_034.mp4,Fake,230,640,480,30,13,606
video_035.mp4,Real,452,640,480,30,12,1365
video_036.mp4,Fake,411,640,480,30,13,1973
video_037.mp4,Real,303,640,480,30,6,1380
video_038.mp4,Fake,232,640,480,30,7,1419
video_039.mp4,Real,194,640,480,30,15,1281
video_040.mp4,Fake,111,640,480,30,14,739
video_041.mp4,Real,180,640,480,30,9,1877
video_042.mp4,Fake,328,640,480,30,6,1290
video_043.mp4,Real,218,640,480,30,7,1708
video_044.mp4,Fake,361,640,480,30,5,1537
video_045.mp4,Real,350,640,480,30,13,688
video_046.mp4,Fake,156,640,480,30,10,962
video_047.mp4,Real,357,640,480,30,13,1956
video_048.mp4,Fake,333,640,480,30,15,1180
video_049.mp4,Real,214,640,480,30,7,649
video_050.mp4,Fake,349,640,480,30,15,1931
video_051.mp4,Real,344,640,480,30,14,1933
video_052.mp4,Fake,321,640,480,30,5,1944
video_053.mp4,Real,465,640,480,30,8,1863
video_054.mp4,Fake,119,640,480,30,14,1912
video_055.mp4,Real,367,640,480,30,11,1825
video_056.mp4,Fake,133,640,480,30,8,1036
video_057.mp4,Real,413,640,480,30,7,1509
video_058.mp4,Fake,477,640,480,30,5,1913
video_059.mp4,Real,372,640,480,30,14,950
video_060.mp4,Fake,491,640,480,30,5,1308
video_061.mp4,Real,422,640,480,30,13,946
video_062.mp4,Fake,200,640,480,30,13,662
video_063.mp4,Real,350,640,480,30,5,1979
video_064.mp4,Fake,332,640,480,30,12,550
video_065.mp4,Real,367,640,480,30,15,1612
video_066.mp4,Fake,304,640,480,30,13,1777
video_067.mp4,Real,352,640,480,30,14,518
video_068.mp4,Fake,383,640,480,30,6,920
video_069.mp4,Real,417,640,480,30,12,535
video_070.mp4,Fake,359,640,480,30,11,833
video_071.mp4,Real,279,640,480,30,6,1089
video_072.mp4,Fake,170,640,480,30,10,1423
video_073.mp4,Real,303,640,480,30,11,1988
video_074.mp4,Fake,195,640,480,30,5,1588
video_075.mp4,Real,421,640,480,30,12,1295
video_076.mp4,Fake,444,640,480,30,14,1446
video_077.mp4,Real,410,640,480,30,13,1061
video_078.mp4,Fake,251,640,480,30,8,1548
video_079.mp4,Real,260,640,480,30,12,1029
video_080.mp4,Fake,329,640,480,30,8,1560
video_081.mp4,Real,127,640,480,30,12,1698
video_082.mp4,Fake,158,640,480,30,9,1484
video_083.mp4,Real,338,640,480,30,5,1527
video_084.mp4,Fake,337,640,480,30,14,650
video_085.mp4,Real,193,640,480,30,11,1392
video_086.mp4,Fake,405,640,480,30,9,1208
